original_filename,main_category,specific_food_name,query,pexels_id,source_url,downloaded_url,photographer,photographer_url,width,height,provider,local_file
chinese-food-shrimp-dumplings-32393812.jpg,Chinese-Food,shrimp-dumplings,shrimp dumplings dim sum,32393812,https://www.pexels.com/photo/steamed-dim-sum-dumplings-in-bamboo-basket-32393812/,https://images.pexels.com/photos/32393812/pexels-photo-32393812.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,Change C.C,https://www.pexels.com/@change-c-c-974768353,6720,4480,Pexels,assets/recipes/supplemental-downloads/raw/chinese-food-shrimp-dumplings-32393812.jpg
chinese-food-shrimp-dumplings-32393811.jpg,Chinese-Food,shrimp-dumplings,shrimp dumplings dim sum,32393811,https://www.pexels.com/photo/close-up-of-steamed-shumai-in-bamboo-steamer-32393811/,https://images.pexels.com/photos/32393811/pexels-photo-32393811.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,Change C.C,https://www.pexels.com/@change-c-c-974768353,6720,4480,Pexels,assets/recipes/supplemental-downloads/raw/chinese-food-shrimp-dumplings-32393811.jpg
chinese-food-tomato-scrambled-eggs-37332248.jpg,Chinese-Food,tomato-scrambled-eggs,Chinese tomato scrambled eggs,37332248,https://www.pexels.com/photo/delicious-japanese-omurice-with-rich-tomato-sauce-37332248/,https://images.pexels.com/photos/37332248/pexels-photo-37332248.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,Gu Ko,https://www.pexels.com/@gu-ko-2150570603,6000,4000,Pexels,assets/recipes/supplemental-downloads/raw/chinese-food-tomato-scrambled-eggs-37332248.jpg
chinese-food-tomato-scrambled-eggs-20044229.jpg,Chinese-Food,tomato-scrambled-eggs,Chinese tomato scrambled eggs,20044229,https://www.pexels.com/photo/roasted-bread-scramble-eggs-and-tomato-salad-20044229/,https://images.pexels.com/photos/20044229/pexels-photo-20044229.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,Nothing Ahead,https://www.pexels.com/@ian-panelo,6000,4000,Pexels,assets/recipes/supplemental-downloads/raw/chinese-food-tomato-scrambled-eggs-20044229.jpg
chinese-food-tomato-scrambled-eggs-3904924.jpg,Chinese-Food,tomato-scrambled-eggs,Chinese tomato scrambled eggs,3904924,https://www.pexels.com/photo/food-in-a-stainless-pot-3904924/,https://images.pexels.com/photos/3904924/pexels-photo-3904924.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,Engin Akyurt,https://www.pexels.com/@enginakyurt,6148,4098,Pexels,assets/recipes/supplemental-downloads/raw/chinese-food-tomato-scrambled-eggs-3904924.jpg
chinese-food-tomato-scrambled-eggs-7696496.jpg,Chinese-Food,tomato-scrambled-eggs,Chinese tomato scrambled eggs,7696496,https://www.pexels.com/photo/cooked-food-in-the-frying-pan-7696496/,https://images.pexels.com/photos/7696496/pexels-photo-7696496.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,cottonbro studio,https://www.pexels.com/@cottonbro,6000,4000,Pexels,assets/recipes/supplemental-downloads/raw/chinese-food-tomato-scrambled-eggs-7696496.jpg
chinese-food-mapo-tofu-15177422.jpg,Chinese-Food,mapo-tofu,mapo tofu Chinese food,15177422,https://www.pexels.com/photo/food-in-pot-15177422/,https://images.pexels.com/photos/15177422/pexels-photo-15177422.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,STUDIO LIMA,https://www.pexels.com/@studio-lima-425004063,6720,4480,Pexels,assets/recipes/supplemental-downloads/raw/chinese-food-mapo-tofu-15177422.jpg
chinese-food-mapo-tofu-38453084.jpg,Chinese-Food,mapo-tofu,mapo tofu Chinese food,38453084,https://www.pexels.com/photo/delicious-asian-tofu-rice-dish-on-wooden-table-38453084/,https://images.pexels.com/photos/38453084/pexels-photo-38453084.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,Duy Đinh,https://www.pexels.com/@duy-dinh-2162749362,7008,4672,Pexels,assets/recipes/supplemental-downloads/raw/chinese-food-mapo-tofu-38453084.jpg
chinese-food-mapo-tofu-6646166.jpg,Chinese-Food,mapo-tofu,mapo tofu Chinese food,6646166,https://www.pexels.com/photo/dried-noodles-and-tofu-on-a-ceramic-plate-6646166/,https://images.pexels.com/photos/6646166/pexels-photo-6646166.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,RDNE Stock project,https://www.pexels.com/@rdne,6472,4315,Pexels,assets/recipes/supplemental-downloads/raw/chinese-food-mapo-tofu-6646166.jpg
chinese-food-mapo-tofu-29902068.jpg,Chinese-Food,mapo-tofu,mapo tofu Chinese food,29902068,https://www.pexels.com/photo/delicious-tofu-stew-in-rustic-pot-29902068/,https://images.pexels.com/photos/29902068/pexels-photo-29902068.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,Nishino Minase,https://www.pexels.com/@minasenishino,6016,4016,Pexels,assets/recipes/supplemental-downloads/raw/chinese-food-mapo-tofu-29902068.jpg
chinese-food-kung-pao-chicken-30708204.jpg,Chinese-Food,kung-pao-chicken,kung pao chicken Chinese food,30708204,https://www.pexels.com/photo/delicious-kung-pao-chicken-on-white-plate-30708204/,https://images.pexels.com/photos/30708204/pexels-photo-30708204.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,Anil  Sharma,https://www.pexels.com/@shootsaga,6720,4480,Pexels,assets/recipes/supplemental-downloads/raw/chinese-food-kung-pao-chicken-30708204.jpg
chinese-food-kung-pao-chicken-36694549.jpg,Chinese-Food,kung-pao-chicken,kung pao chicken Chinese food,36694549,https://www.pexels.com/photo/delicious-kung-pao-chicken-on-white-plate-36694549/,https://images.pexels.com/photos/36694549/pexels-photo-36694549.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,Change C.C,https://www.pexels.com/@change-c-c-974768353,6720,4480,Pexels,assets/recipes/supplemental-downloads/raw/chinese-food-kung-pao-chicken-36694549.jpg
chinese-food-kung-pao-chicken-30604610.jpg,Chinese-Food,kung-pao-chicken,kung pao chicken Chinese food,30604610,https://www.pexels.com/photo/delicious-indo-chinese-schezwan-chicken-stir-fry-30604610/,https://images.pexels.com/photos/30604610/pexels-photo-30604610.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,Anil  Sharma,https://www.pexels.com/@shootsaga,6720,4480,Pexels,assets/recipes/supplemental-downloads/raw/chinese-food-kung-pao-chicken-30604610.jpg
chinese-food-kung-pao-chicken-10692530.jpg,Chinese-Food,kung-pao-chicken,kung pao chicken Chinese food,10692530,https://www.pexels.com/photo/close-up-of-soup-10692530/,https://images.pexels.com/photos/10692530/pexels-photo-10692530.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,Yang Hao,https://www.pexels.com/@yang-hao-155871170,7952,5304,Pexels,assets/recipes/supplemental-downloads/raw/chinese-food-kung-pao-chicken-10692530.jpg
chinese-food-wonton-soup-37113522.jpg,Chinese-Food,wonton-soup,wonton soup Chinese food,37113522,https://www.pexels.com/photo/delicious-wonton-soup-in-ceramic-bowl-37113522/,https://images.pexels.com/photos/37113522/pexels-photo-37113522.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,J.D. Books,https://www.pexels.com/@j-d-books-554377679,8256,5504,Pexels,assets/recipes/supplemental-downloads/raw/chinese-food-wonton-soup-37113522.jpg
chinese-food-wonton-soup-37185612.jpg,Chinese-Food,wonton-soup,wonton soup Chinese food,37185612,https://www.pexels.com/photo/delicious-chinese-soup-with-leafy-greens-in-bowl-37185612/,https://images.pexels.com/photos/37185612/pexels-photo-37185612.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,J.D. Books,https://www.pexels.com/@j-d-books-554377679,6048,4024,Pexels,assets/recipes/supplemental-downloads/raw/chinese-food-wonton-soup-37185612.jpg
chinese-food-wonton-soup-30086569.jpg,Chinese-Food,wonton-soup,wonton soup Chinese food,30086569,https://www.pexels.com/photo/authentic-asian-vegetable-and-noodle-soup-30086569/,https://images.pexels.com/photos/30086569/pexels-photo-30086569.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,FOX ^.ᆽ.^= ∫,https://www.pexels.com/@fox-58267,6000,4000,Pexels,assets/recipes/supplemental-downloads/raw/chinese-food-wonton-soup-30086569.jpg
chinese-food-wonton-soup-35157092.jpg,Chinese-Food,wonton-soup,wonton soup Chinese food,35157092,https://www.pexels.com/photo/delicious-dumpling-soup-in-disposable-bowl-35157092/,https://images.pexels.com/photos/35157092/pexels-photo-35157092.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,Peter Xie,https://www.pexels.com/@peter-xie-371876898,6000,4000,Pexels,assets/recipes/supplemental-downloads/raw/chinese-food-wonton-soup-35157092.jpg
chinese-food-spring-rolls-37261945.jpg,Chinese-Food,spring-rolls,Chinese spring rolls,37261945,https://www.pexels.com/photo/delicious-homemade-spring-rolls-on-wooden-plate-37261945/,https://images.pexels.com/photos/37261945/pexels-photo-37261945.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,Gu Ko,https://www.pexels.com/@gu-ko-2150570603,5876,4672,Pexels,assets/recipes/supplemental-downloads/raw/chinese-food-spring-rolls-37261945.jpg
chinese-food-spring-rolls-37261944.jpg,Chinese-Food,spring-rolls,Chinese spring rolls,37261944,https://www.pexels.com/photo/cooking-spring-rolls-in-frying-pan-37261944/,https://images.pexels.com/photos/37261944/pexels-photo-37261944.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,Gu Ko,https://www.pexels.com/@gu-ko-2150570603,6515,4257,Pexels,assets/recipes/supplemental-downloads/raw/chinese-food-spring-rolls-37261944.jpg
